trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
324,True,"{'a': 0, 'e': 0}",25,9,30.357188626847552,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,True,"{'a': 0, 'e': 0}",25,14,22.397416045947296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,True,"{'a': 0, 'e': 0}",20,16,7.698096767770078,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,True,"{'a': 0, 'e': 0}",25,11,28.12805844253453,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,True,"{'a': 0, 'e': 0}",30,6,42.25470510897222,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,True,"{'a': 0, 'e': 0}",35,19,29.469196445886013,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,True,"{'a': 0, 'e': 0}",20,6,19.483208973030194,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,True,"{'a': 0, 'e': 0}",20,9,18.06267895368156,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,True,"{'a': 0, 'e': 0}",20,6,25.280705214933878,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,True,"{'a': 0, 'e': 0}",25,15,15.693635964722436,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,True,"{'a': 0, 'e': 0}",25,17,15.452237088049127,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,True,"{'a': 0, 'e': 0}",20,16,10.093534890194324,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,True,"{'a': 0, 'e': 0}",25,13,22.379131661998965,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,True,"{'a': 0, 'e': 0}",30,18,20.782304598732853,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,True,"{'a': 0, 'e': 0}",20,6,25.42523801289446,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,True,"{'a': 0, 'e': 0}",25,13,19.002988272858193,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,True,"{'a': 0, 'e': 0}",20,0,30.635757766300113,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
341,True,"{'a': 0, 'e': 0}",25,17,10.647545818724673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,True,"{'a': 0, 'e': 0}",30,20,19.215948863336745,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,True,"{'a': 0, 'e': 0}",20,3,31.352688707127612,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,True,"{'a': 0, 'e': 0}",25,12,23.91184079017306,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,True,"{'a': 0, 'e': 0}",25,14,19.03750974077739,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,True,"{'a': 0, 'e': 0}",25,17,12.29874504244575,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,True,"{'a': 0, 'e': 0}",20,9,22.727167601058525,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,True,"{'a': 0, 'e': 0}",20,8,20.803443564755447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
